# Logfile created on 2022-03-03 10:13:17 +0100 by logger.rb/v1.5.0
D, [2022-03-10T08:27:01.302515 #5372] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:27:01.303068 #5372] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('SUP', 'Little apple', '2022-03-10 07:27:01.301791', '2022-03-10 07:27:01.301791')
D, [2022-03-10T08:27:01.313056 #5372] DEBUG -- :   TRANSACTION (9.6ms)  COMMIT
D, [2022-03-10T08:27:01.314321 #5372] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:27:01.314839 #5372] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'SUP', '2022-03-10 07:27:01.313541', '2022-03-10 07:27:01.313541')
D, [2022-03-10T08:27:01.325403 #5372] DEBUG -- :   TRANSACTION (10.2ms)  COMMIT
D, [2022-03-10T08:27:01.326268 #5372] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:27:01.326661 #5372] DEBUG -- :   Category Create (0.2ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('GAM', 'Gaming', '2022-03-10 07:27:01.325783', '2022-03-10 07:27:01.325783')
D, [2022-03-10T08:27:01.333356 #5372] DEBUG -- :   TRANSACTION (6.5ms)  COMMIT
D, [2022-03-10T08:27:01.341806 #5372] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:27:01.342320 #5372] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('apple', '2.35', 'Little apple', '2022-03-10 07:27:01.338147', '2022-03-10 07:27:01.338147', 1)
D, [2022-03-10T08:27:01.349407 #5372] DEBUG -- :   TRANSACTION (6.8ms)  COMMIT
D, [2022-03-10T08:27:01.350857 #5372] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-10T08:27:01.351556 #5372] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `created_at`, `updated_at`, `categories_id`) VALUES ('lemon', '6.15', 'Big lemon', '2022-03-10 07:27:01.349969', '2022-03-10 07:27:01.349969', 1)
D, [2022-03-10T08:27:01.359821 #5372] DEBUG -- :   TRANSACTION (7.8ms)  COMMIT
D, [2022-03-10T08:27:01.361143 #5372] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
